"Perioden";"Regio's";"Bevolking/Bevolkingssamenstelling op 1 januari/Totale bevolking (aantal)";"Bevolking/Bevolkingssamenstelling op 1 januari/Bevolkingsdichtheid (aantal inwoners per km²)"
"2021";"Etten-Leur";43869;793
"2022";"Etten-Leur";44152;799
"2023";"Etten-Leur";44578;806
"2020";"Ferwerderadeel";;
"2021";"Ferwerderadeel";;
"2022";"Ferwerderadeel";;
"2023";"Ferwerderadeel";;
"2020";"Ferwerderadiel";;
"2021";"Ferwerderadiel";;
"2022";"Ferwerderadiel";;
"2023";"Ferwerderadiel";;
"2020";"Fijnaart en Heijningen";;
"2021";"Fijnaart en Heijningen";;
"2022";"Fijnaart en Heijningen";;
"2023";"Fijnaart en Heijningen";;
"2020";"Franekeradeel";;
"2021";"Franekeradeel";;
"2022";"Franekeradeel";;
"2023";"Franekeradeel";;
"2020";"De Friese Meren";;
"2021";"De Friese Meren";;
"2022";"De Friese Meren";;
"2023";"De Friese Meren";;
"2020";"De Fryske Marren";51564;147
"2021";"De Fryske Marren";51778;147
"2022";"De Fryske Marren";51597;147
"2023";"De Fryske Marren";51992;148
"2020";"Gaasterlân-Sleat";;
"2021";"Gaasterlân-Sleat";;
"2022";"Gaasterlân-Sleat";;
"2023";"Gaasterlân-Sleat";;
"2020";"Gasselte";;
"2021";"Gasselte";;
"2022";"Gasselte";;
"2023";"Gasselte";;
"2020";"Geertruidenberg";21544;809
"2021";"Geertruidenberg";21770;817
"2022";"Geertruidenberg";21944;825
"2023";"Geertruidenberg";22099;831
"2020";"Geldermalsen";;
"2021";"Geldermalsen";;
"2022";"Geldermalsen";;
"2023";"Geldermalsen";;
"2020";"Geldrop";;
"2021";"Geldrop";;
"2022";"Geldrop";;
"2023";"Geldrop";;
"2020";"Geldrop-Mierlo";39726;1281
"2021";"Geldrop-Mierlo";40066;1292
"2022";"Geldrop-Mierlo";40131;1294
"2023";"Geldrop-Mierlo";40441;1304
"2020";"Geleen";;
"2021";"Geleen";;
"2022";"Geleen";;
"2023";"Geleen";;
"2020";"Gemert";;
"2021";"Gemert";;
"2022";"Gemert";;
"2023";"Gemert";;
"2020";"Gemert-Bakel";30723;252
"2021";"Gemert-Bakel";30760;252
"2022";"Gemert-Bakel";31040;254
"2023";"Gemert-Bakel";31383;257
"2020";"Gendringen";;
"2021";"Gendringen";;
"2022";"Gendringen";;
"2023";"Gendringen";;
"2020";"Gendt";;
"2021";"Gendt";;
"2022";"Gendt";;
"2023";"Gendt";;
"2020";"Genemuiden";;
"2021";"Genemuiden";;
"2022";"Genemuiden";;
"2023";"Genemuiden";;
"2020";"Gennep";16921;355
"2021";"Gennep";17035;358
"2022";"Gennep";17237;362
"2023";"Gennep";17764;373
"2020";"Giessenlanden";;
"2021";"Giessenlanden";;
"2022";"Giessenlanden";;
"2023";"Giessenlanden";;
"2020";"Gieten";;
"2021";"Gieten";;
"2022";"Gieten";;
"2023";"Gieten";;
"2020";"Gilze en Rijen";26431;404
"2021";"Gilze en Rijen";26723;409
"2022";"Gilze en Rijen";26557;406
"2023";"Gilze en Rijen";26815;410
"2020";"Goedereede";;
"2021";"Goedereede";;
"2022";"Goedereede";;
"2023";"Goedereede";;
"2020";"Goeree-Overflakkee";50049;192
"2021";"Goeree-Overflakkee";50589;194
"2022";"Goeree-Overflakkee";51051;195
"2023";"Goeree-Overflakkee";51590;197
"2020";"Goes";38082;411
"2021";"Goes";38594;417
"2022";"Goes";38950;421
"2023";"Goes";39433;426
"2020";"Goirle";23904;556
"2021";"Goirle";23952;557
"2022";"Goirle";23979;558
"2023";"Goirle";24177;563
"2020";"Gooise Meren";58055;1396
"2021";"Gooise Meren";58524;1407
"2022";"Gooise Meren";58846;1419
"2023";"Gooise Meren";60341;1456
"2020";"Goor";;
"2021";"Goor";;
"2022";"Goor";;
"2023";"Goor";;
"2020";"Gorinchem";37022;1966
"2021";"Gorinchem";37410;1987
"2022";"Gorinchem";37632;2011
"2023";"Gorinchem";38461;2055
"2020";"Gorssel";;
"2021";"Gorssel";;
"2022";"Gorssel";;
"2023";"Gorssel";;
"2020";"Gouda";73427;4449
"2021";"Gouda";73681;4464
"2022";"Gouda";74095;4491
"2023";"Gouda";75316;4565
"2020";"Graafstroom";;
"2021";"Graafstroom";;
"2022";"Graafstroom";;
"2023";"Graafstroom";;
"2020";"Graft-De Rijp";;
"2021";"Graft-De Rijp";;
"2022";"Graft-De Rijp";;
"2023";"Graft-De Rijp";;
"2020";"Gramsbergen";;
"2021";"Gramsbergen";;
"2022";"Gramsbergen";;
"2023";"Gramsbergen";;
"2020";"Grave";12436;457
"2021";"Grave";12486;459
"2022";"Grave";;
"2023";"Grave";;
"2020";"'s-Graveland";;
"2021";"'s-Graveland";;
"2022";"'s-Graveland";;
"2023";"'s-Graveland";;
"2020";"'s-Gravendeel";;
"2021";"'s-Gravendeel";;
"2022";"'s-Gravendeel";;
"2023";"'s-Gravendeel";;
"2020";"'s-Gravenhage (gemeente)";545838;6620
"2021";"'s-Gravenhage (gemeente)";548320;6650
"2022";"'s-Gravenhage (gemeente)";553417;6712
"2023";"'s-Gravenhage (gemeente)";562839;6827
"2020";"'s-Gravenmoer";;
"2021";"'s-Gravenmoer";;
"2022";"'s-Gravenmoer";;
"2023";"'s-Gravenmoer";;
"2020";"'s-Gravenzande";;
"2021";"'s-Gravenzande";;
"2022";"'s-Gravenzande";;
"2023";"'s-Gravenzande";;
"2020";"Groenlo";;
"2021";"Groenlo";;
"2022";"Groenlo";;
"2023";"Groenlo";;
"2020";"Groesbeek";;
"2021";"Groesbeek";;
"2022";"Groesbeek";;
"2023";"Groesbeek";;
"2020";"Groningen (gemeente)";232874;1255
"2021";"Groningen (gemeente)";233273;1257
"2022";"Groningen (gemeente)";234950;1266
"2023";"Groningen (gemeente)";238147;1284
"2020";"Grootegast";;
"2021";"Grootegast";;
"2022";"Grootegast";;
"2023";"Grootegast";;
"2020";"Grubbenvorst";;
"2021";"Grubbenvorst";;
"2022";"Grubbenvorst";;
"2023";"Grubbenvorst";;
"2020";"Gulpen";;
"2021";"Gulpen";;
"2022";"Gulpen";;
"2023";"Gulpen";;
"2020";"Gulpen-Wittem";14171;194
"2021";"Gulpen-Wittem";14206;194
"2022";"Gulpen-Wittem";14178;194
"2023";"Gulpen-Wittem";14210;194
"2020";"Haaksbergen";24311;232
"2021";"Haaksbergen";24229;231
"2022";"Haaksbergen";24268;232
"2023";"Haaksbergen";24502;234
"2020";"Haaren";14370;249
"2021";"Haaren";;
"2022";"Haaren";;
"2023";"Haaren";;
"2020";"Haarlem";162902;5585
"2021";"Haarlem";162543;5573
"2022";"Haarlem";162898;5576
"2023";"Haarlem";165396;5662
"2020";"Haarlemmerliede en Spaarnwoude";;
"2021";"Haarlemmerliede en Spaarnwoude";;
"2022";"Haarlemmerliede en Spaarnwoude";;
"2023";"Haarlemmerliede en Spaarnwoude";;
"2020";"Haarlemmermeer";156002;790
"2021";"Haarlemmermeer";157789;799
"2022";"Haarlemmermeer";159336;808
"2023";"Haarlemmermeer";162300;823
"2020";"Haelen";;
"2021";"Haelen";;
"2022";"Haelen";;
"2023";"Haelen";;
"2020";"Halderberge";30284;407
"2021";"Halderberge";30430;409
"2022";"Halderberge";30770;413
"2023";"Halderberge";31041;417
"2020";"Halsteren";;
"2021";"Halsteren";;
"2022";"Halsteren";;
"2023";"Halsteren";;
"2020";"Den Ham";;
"2021";"Den Ham";;
"2022";"Den Ham";;
"2023";"Den Ham";;
"2020";"Hardenberg";60948;195
"2021";"Hardenberg";61357;196
"2022";"Hardenberg";61798;198
"2023";"Hardenberg";62509;200
"2020";"Harderwijk";48414;1245
"2021";"Harderwijk";48726;1253
"2022";"Harderwijk";48857;1255
"2023";"Harderwijk";48906;1256
"2020";"Hardinxveld-Giessendam";18295;1082
"2021";"Hardinxveld-Giessendam";18413;1089
"2022";"Hardinxveld-Giessendam";18511;1098
"2023";"Hardinxveld-Giessendam";18681;1108
"2020";"Haren";;
"2021";"Haren";;
"2022";"Haren";;
"2023";"Haren";;
"2020";"Harenkarspel";;
"2021";"Harenkarspel";;
"2022";"Harenkarspel";;
"2023";"Harenkarspel";;
"2020";"Harlingen";15722;630
"2021";"Harlingen";15807;633
"2022";"Harlingen";15904;637
"2023";"Harlingen";16188;649
"2020";"Harmelen";;
"2021";"Harmelen";;
"2022";"Harmelen";;
"2023";"Harmelen";;
"2020";"Hasselt";;
"2021";"Hasselt";;
"2022";"Hasselt";;
"2023";"Hasselt";;
"2020";"Hattem";12209;529
"2021";"Hattem";12228;530
"2022";"Hattem";12307;533
"2023";"Hattem";12563;545
"2020";"Havelte";;
"2021";"Havelte";;
"2022";"Havelte";;
"2023";"Havelte";;
"2020";"Hedel";;
"2021";"Hedel";;
"2022";"Hedel";;
"2023";"Hedel";;
"2020";"Heel";;
"2021";"Heel";;
"2022";"Heel";;
"2023";"Heel";;
"2020";"Heemskerk";39182;1433
"2021";"Heemskerk";39191;1434
"2022";"Heemskerk";39189;1437
"2023";"Heemskerk";39431;1446
"2020";"Heemstede";27234;2968
"2021";"Heemstede";27545;3001
"2022";"Heemstede";27557;3005
"2023";"Heemstede";27778;3029
"2020";"Heerde";18589;236
"2021";"Heerde";18776;238
"2022";"Heerde";18976;242
"2023";"Heerde";19214;245
"2020";"Heerenveen";50493;266
"2021";"Heerenveen";50650;266
"2022";"Heerenveen";51119;269
"2023";"Heerenveen";51637;272
"2020";"Heerewaarden";;
"2021";"Heerewaarden";;
"2022";"Heerewaarden";;
"2023";"Heerewaarden";;
"2020";"Heerhugowaard";57587;1507
"2021";"Heerhugowaard";58387;1528
"2022";"Heerhugowaard";;
"2023";"Heerhugowaard";;
"2020";"Heerjansdam";;
"2021";"Heerjansdam";;
"2022";"Heerjansdam";;
"2023";"Heerjansdam";;
"2020";"Heerlen";87086;1938
"2021";"Heerlen";86936;1935
"2022";"Heerlen";86845;1934
"2023";"Heerlen";87122;1940
"2020";"Heesch";;
"2021";"Heesch";;
"2022";"Heesch";;
"2023";"Heesch";;
"2020";"Heeze";;
"2021";"Heeze";;
"2022";"Heeze";;
"2023";"Heeze";;
"2020";"Heeze-Leende";16152;155
"2021";"Heeze-Leende";16243;156
"2022";"Heeze-Leende";16470;158
"2023";"Heeze-Leende";16627;160
"2020";"Heiloo";23968;1282
"2021";"Heiloo";24144;1291
"2022";"Heiloo";24417;1305
"2023";"Heiloo";24319;1300
"2020";"Heino";;
"2021";"Heino";;
"2022";"Heino";;
"2023";"Heino";;
"2020";"Helden";;
"2021";"Helden";;
"2022";"Helden";;
"2023";"Helden";;
"2020";"Den Helder";56296;1244
"2021";"Den Helder";56582;1250
"2022";"Den Helder";56334;1249
"2023";"Den Helder";56539;1254
"2020";"Hellendoorn";35916;260
"2021";"Hellendoorn";35932;261
"2022";"Hellendoorn";35940;261
"2023";"Hellendoorn";36261;263
"2020";"Hellevoetsluis";40142;977
"2021";"Hellevoetsluis";40312;981
"2022";"Hellevoetsluis";40574;988
"2023";"Hellevoetsluis";;
"2020";"Helmond";92423;1738
"2021";"Helmond";92627;1742
"2022";"Helmond";93476;1758
"2023";"Helmond";94898;1785
"2020";"Helvoirt";;
"2021";"Helvoirt";;
"2022";"Helvoirt";;
"2023";"Helvoirt";;
"2020";"Hendrik-Ido-Ambacht";31202;2940
"2021";"Hendrik-Ido-Ambacht";31258;2945
"2022";"Hendrik-Ido-Ambacht";31663;3108
"2023";"Hendrik-Ido-Ambacht";32183;3159
"2020";"Hengelo (Gld.)";;
"2021";"Hengelo (Gld.)";;
"2022";"Hengelo (Gld.)";;
"2023";"Hengelo (Gld.)";;
"2020";"Hengelo (O.)";81140;1334
"2021";"Hengelo (O.)";81049;1332
"2022";"Hengelo (O.)";81476;1339
"2023";"Hengelo (O.)";82311;1353
"2020";"'s-Hertogenbosch";155111;1410
"2021";"'s-Hertogenbosch";155490;1414
"2022";"'s-Hertogenbosch";156538;1430
"2023";"'s-Hertogenbosch";158753;1450
"2020";"Heteren";;
"2021";"Heteren";;
"2022";"Heteren";;
"2023";"Heteren";;
"2020";"Heumen";16454;414
"2021";"Heumen";16569;417
"2022";"Heumen";17175;432
"2023";"Heumen";16824;423
"2020";"Heusden";44692;567
"2021";"Heusden";45005;571
"2022";"Heusden";45557;578
"2023";"Heusden";45830;581
"2020";"Heythuysen";;
"2021";"Heythuysen";;
"2022";"Heythuysen";;
"2023";"Heythuysen";;
"2020";"Hillegom";22209;1725
"2021";"Hillegom";22197;1724
"2022";"Hillegom";22312;1736
"2023";"Hillegom";22453;1747
"2020";"Hilvarenbeek";15518;164
"2021";"Hilvarenbeek";15698;166
"2022";"Hilvarenbeek";15810;167
"2023";"Hilvarenbeek";15949;168
"2020";"Hilversum";90831;1991
"2021";"Hilversum";91235;2000
"2022";"Hilversum";91733;2013
"2023";"Hilversum";93345;2047
"2020";"Hoeksche Waard";87401;325
"2021";"Hoeksche Waard";88047;327
"2022";"Hoeksche Waard";88715;330
"2023";"Hoeksche Waard";89760;334
"2020";"Hoevelaken";;
"2021";"Hoevelaken";;
"2022";"Hoevelaken";;
"2023";"Hoevelaken";;
"2020";"Hoeven";;
"2021";"Hoeven";;
"2022";"Hoeven";;
"2023";"Hoeven";;
"2020";"Hof van Twente";35017;165
"2021";"Hof van Twente";35040;165
"2022";"Hof van Twente";35056;165
"2023";"Hof van Twente";35455;167
"2020";"Het Hogeland";47801;99
"2021";"Het Hogeland";47834;99
"2022";"Het Hogeland";48022;101
"2023";"Het Hogeland";48298;101
"2020";"Hollands Kroon";48432;136
"2021";"Hollands Kroon";48583;136
"2022";"Hollands Kroon";48778;136
"2023";"Hollands Kroon";49431;138
"2020";"Holten";;
"2021";"Holten";;
"2022";"Holten";;
"2023";"Holten";;
"2020";"Hontenisse";;
"2021";"Hontenisse";;
"2022";"Hontenisse";;
"2023";"Hontenisse";;
"2020";"Hooge en Lage Mierde";;
"2021";"Hooge en Lage Mierde";;
"2022";"Hooge en Lage Mierde";;
"2023";"Hooge en Lage Mierde";;
"2020";"Hooge en Lage Zwaluwe";;
"2021";"Hooge en Lage Zwaluwe";;
"2022";"Hooge en Lage Zwaluwe";;
"2023";"Hooge en Lage Zwaluwe";;
"2020";"Hoogeloon, Hapert en Casteren";;
"2021";"Hoogeloon, Hapert en Casteren";;
"2022";"Hoogeloon, Hapert en Casteren";;
"2023";"Hoogeloon, Hapert en Casteren";;
"2020";"Hoogeveen";55699;437
"2021";"Hoogeveen";55603;436
"2022";"Hoogeveen";55857;438
"2023";"Hoogeveen";56433;442
"2020";"Hoogezand-Sappemeer";;
"2021";"Hoogezand-Sappemeer";;
"2022";"Hoogezand-Sappemeer";;
"2023";"Hoogezand-Sappemeer";;
"2020";"Hoorn";73261;3595
"2021";"Hoorn";73619;3613
"2022";"Hoorn";74298;3647
"2023";"Hoorn";75216;3692
"2020";"Horst";;
"2021";"Horst";;
"2022";"Horst";;
"2023";"Horst";;
"2020";"Horst aan de Maas";42429;225
"2021";"Horst aan de Maas";42487;225
"2022";"Horst aan de Maas";43039;228
"2023";"Horst aan de Maas";43641;231
"2020";"Houten";50146;913
"2021";"Houten";50223;914
"2022";"Houten";50323;917
"2023";"Houten";50581;921
"2020";"Huijbergen";;
"2021";"Huijbergen";;
"2022";"Huijbergen";;
"2023";"Huijbergen";;
"2020";"Huissen";;
"2021";"Huissen";;
"2022";"Huissen";;
"2023";"Huissen";;
"2020";"Huizen";41273;2611
"2021";"Huizen";41090;2600
"2022";"Huizen";40938;2589
"2023";"Huizen";41252;2609
"2020";"Hulst";27556;137
"2021";"Hulst";27575;137
"2022";"Hulst";27533;137
"2023";"Hulst";27596;137
"2020";"Hummelo en Keppel";;
"2021";"Hummelo en Keppel";;
"2022";"Hummelo en Keppel";;
"2023";"Hummelo en Keppel";;
"2020";"Hunsel";;
"2021";"Hunsel";;
"2022";"Hunsel";;
"2023";"Hunsel";;
"2020";"IJsselham";;
"2021";"IJsselham";;
"2022";"IJsselham";;
"2023";"IJsselham";;
"2020";"IJsselmuiden";;
"2021";"IJsselmuiden";;
"2022";"IJsselmuiden";;
"2023";"IJsselmuiden";;
"2020";"IJsselstein";34109;1619
"2021";"IJsselstein";33819;1605
"2022";"IJsselstein";33429;1591
"2023";"IJsselstein";33492;1594
"2020";"Jacobswoude";;
"2021";"Jacobswoude";;
"2022";"Jacobswoude";;
"2023";"Jacobswoude";;
"2020";"Kaag en Braassem";27297;432
"2021";"Kaag en Braassem";27541;435
"2022";"Kaag en Braassem";27895;442
"2023";"Kaag en Braassem";28573;453
"2020";"Kampen";54319;382
"2021";"Kampen";54474;383
"2022";"Kampen";54791;388
"2023";"Kampen";55614;394
"2020";"Kapelle";12695;342
"2021";"Kapelle";12882;347
"2022";"Kapelle";13020;351
"2023";"Kapelle";13051;351
"2020";"Katwijk";65753;2657
"2021";"Katwijk";65995;2667
"2022";"Katwijk";66032;2662
"2023";"Katwijk";66607;2685
"2020";"Kerkrade";45749;2088
"2021";"Kerkrade";45442;2074
"2022";"Kerkrade";45324;2069
"2023";"Kerkrade";45620;2082
"2020";"Kerkwijk";;
"2021";"Kerkwijk";;
"2022";"Kerkwijk";;
"2023";"Kerkwijk";;
"2020";"Kessel";;
"2021";"Kessel";;
"2022";"Kessel";;
"2023";"Kessel";;
"2020";"Kesteren";;
"2021";"Kesteren";;
"2022";"Kesteren";;
"2023";"Kesteren";;
"2020";"Klundert";;
"2021";"Klundert";;
"2022";"Klundert";;
"2023";"Klundert";;
"2020";"Koggenland";22749;283
"2021";"Koggenland";22940;286
"2022";"Koggenland";23048;287
"2023";"Koggenland";23509;293
"2020";"Kollumerland en Nieuwkruisland";;
"2021";"Kollumerland en Nieuwkruisland";;
"2022";"Kollumerland en Nieuwkruisland";;
"2023";"Kollumerland en Nieuwkruisland";;
"2020";"Korendijk";;
"2021";"Korendijk";;
"2022";"Korendijk";;
"2023";"Korendijk";;
"2020";"Krimpen aan den IJssel";29526;3841
"2021";"Krimpen aan den IJssel";29410;3826
"2022";"Krimpen aan den IJssel";29415;3833
"2023";"Krimpen aan den IJssel";29504;3845
"2020";"Krimpenerwaard";56319;380
"2021";"Krimpenerwaard";56622;382
"2022";"Krimpenerwaard";57062;385
"2023";"Krimpenerwaard";57700;389
"2020";"Laarbeek";22523;407
"2021";"Laarbeek";22805;412
"2022";"Laarbeek";22943;414
"2023";"Laarbeek";23260;420
"2020";"Land van Cuijk";;
"2021";"Land van Cuijk";;
"2022";"Land van Cuijk";90707;266
"2023";"Land van Cuijk";91423;268
"2020";"Landerd";15730;224
"2021";"Landerd";15817;225
"2022";"Landerd";;
"2023";"Landerd";;
"2020";"Landgraaf";37445;1523
"2021";"Landgraaf";37262;1516
"2022";"Landgraaf";37023;1506
"2023";"Landgraaf";37175;1512
"2020";"Landsmeer";11491;510
"2021";"Landsmeer";11565;513
"2022";"Landsmeer";11560;515
"2023";"Landsmeer";11705;522
"2020";"Langbroek";;
"2021";"Langbroek";;
"2022";"Langbroek";;
"2023";"Langbroek";;
"2020";"Langedijk";28163;1179
"2021";"Langedijk";28335;1186
"2022";"Langedijk";;
"2023";"Langedijk";;
"2020";"Lansingerland";62384;1168
"2021";"Lansingerland";63363;1186
"2022";"Lansingerland";64110;1203
"2023";"Lansingerland";64754;1216
"2020";"Laren (NH.)";11280;909
"2021";"Laren (NH.)";11398;918
"2022";"Laren (NH.)";11528;929
"2023";"Laren (NH.)";11712;944
"2020";"Leek";;
"2021";"Leek";;
"2022";"Leek";;
"2023";"Leek";;
"2020";"Leende";;
"2021";"Leende";;
"2022";"Leende";;
"2023";"Leende";;
"2020";"Leerdam";;
"2021";"Leerdam";;
"2022";"Leerdam";;
"2023";"Leerdam";;
"2020";"Leersum";;
"2021";"Leersum";;
"2022";"Leersum";;
"2023";"Leersum";;
"2020";"Leeuwarden";124084;521
"2021";"Leeuwarden";124481;523
"2022";"Leeuwarden";125504;528
"2023";"Leeuwarden";127073;535
"2020";"Leeuwarderadeel";;
"2021";"Leeuwarderadeel";;
"2022";"Leeuwarderadeel";;
"2023";"Leeuwarderadeel";;
"2020";"Leiden";125099;5710
"2021";"Leiden";124093;5664
"2022";"Leiden";125074;5724
"2023";"Leiden";127089;5816
"2020";"Leiderdorp";27056;2337
"2021";"Leiderdorp";27377;2365
"2022";"Leiderdorp";27464;2389
"2023";"Leiderdorp";27657;2406
"2020";"Leidschendam";;
"2021";"Leidschendam";;
"2022";"Leidschendam";;
"2023";"Leidschendam";;
"2020";"Leidschendam-Voorburg";76534;2351
"2021";"Leidschendam-Voorburg";76433;2348
"2022";"Leidschendam-Voorburg";76659;2351
"2023";"Leidschendam-Voorburg";77753;2384
"2020";"Lelystad";78598;341
"2021";"Lelystad";79811;347
"2022";"Lelystad";81214;355
"2023";"Lelystad";83033;363
"2020";"Lemsterland";;
"2021";"Lemsterland";;
"2022";"Lemsterland";;
"2023";"Lemsterland";;
"2020";"Leudal";35879;220
"2021";"Leudal";36045;222
"2022";"Leudal";35928;221
"2023";"Leudal";36141;222
"2020";"Leusden";30401;519
"2021";"Leusden";30544;522
"2022";"Leusden";30713;525
"2023";"Leusden";31467;538
"2020";"Lichtenvoorde";;
"2021";"Lichtenvoorde";;
"2022";"Lichtenvoorde";;
"2023";"Lichtenvoorde";;
"2020";"Liemeer";;
"2021";"Liemeer";;
"2022";"Liemeer";;
"2023";"Liemeer";;
"2020";"Liempde";;
"2021";"Liempde";;
"2022";"Liempde";;
"2023";"Liempde";;
"2020";"Lienden";;
"2021";"Lienden";;
"2022";"Lienden";;
"2023";"Lienden";;
"2020";"De Lier";;
"2021";"De Lier";;
"2022";"De Lier";;
"2023";"De Lier";;
"2020";"Lieshout";;
"2021";"Lieshout";;
"2022";"Lieshout";;
"2023";"Lieshout";;
"2020";"Liesveld";;
"2021";"Liesveld";;
"2022";"Liesveld";;
"2023";"Liesveld";;
"2020";"Limmen";;
"2021";"Limmen";;
"2022";"Limmen";;
"2023";"Limmen";;
"2020";"Lingewaal";;
"2021";"Lingewaal";;
"2022";"Lingewaal";;
"2023";"Lingewaal";;
"2020";"Lingewaard";46601;752
"2021";"Lingewaard";46822;755
"2022";"Lingewaard";46963;758
"2023";"Lingewaard";47220;762
"2020";"Lisse";22955;1463
"2021";"Lisse";22982;1465
"2022";"Lisse";23015;1466
"2023";"Lisse";23390;1490
"2020";"Lith";;
"2021";"Lith";;
"2022";"Lith";;
"2023";"Lith";;
"2020";"Littenseradiel";;
"2021";"Littenseradiel";;
"2022";"Littenseradiel";;
"2023";"Littenseradiel";;
"2020";"Lochem";33729;158
"2021";"Lochem";33948;159
"2022";"Lochem";34069;160
"2023";"Lochem";34314;161
"2020";"Loenen";;
"2021";"Loenen";;
"2022";"Loenen";;
"2023";"Loenen";;
"2020";"Loon op Zand";23408;469
"2021";"Loon op Zand";23504;471
"2022";"Loon op Zand";23768;476
"2023";"Loon op Zand";23797;477
"2020";"Loosdrecht";;
